Name,Basic,Advance,Address,Contact
Eleven Eleven Food Truck,A food truck that looks to Do Good in the community,"A Social Enterprise that supports men and women in recovery and working towards generating a profit that can go back into supporting treatment programming at Fresh Start Recovery Centre.A Food Truck that is built on being responsible, engaging the community, and collaborating with partners to produce a quality Food Truck Dining Experience and positively impact the lives of people in recovery.Eleven Eleven Food Truck does recovery better than anyone else. Defined by living and operating responsibly, in the community and in a healthy physical, spiritual, mental, and emotional manner.",(587) 999-6616,adam@freshstartrecovery.ca
Fishburn Ranch,Family ranch specializing in raising high-quality grass-finished beef with professional regenerative grazing practices,"Fishburn Ranch uses a regenerative grazing plan with fences used to keep cattle in close herds to give the grass long rest periods between grazing’s, this mimics the ancient patterns of the elk and buffalo that had this country thriving before humans came along and got in the way. The ground breathed a big sigh of relief and started growing grass. Lots of it. Now they have a wide range of new species growing, many of which the seeds had just been waiting in the soil for the optimum growing conditions. Fishburn Ranch soil is alive! Bugs and worms are everywhere. Sometimes they think of themselves as bug ranchers, because if you have healthy bugs you have healthy soil, grass, cows, beef, people, relationships, families, communities. Fishburn Ranch doesn't get the credit. The land and the cows were created this way. It is when we all step back and observe, that nature can reach it is potential. It is when we all stop trying to force production with chemicals and abusive management. Fishburn Ranch still messes it up too often but, they are humbled and grateful for the opportunity to be a part of a big plan that works.","28326 28-4 Pincher Creek
Pincher Creek, Alberta T0K 1W0
(403)627-9887",casey@fishburnranch.com
"Free House | Local Beer & Food Hall
","A casual beer hall with a passion for fresh local food and awesome local beer.
","Great Beer. Great Food. Free House is a beer hall for food lovers! Featuring 24 rotating beer taps and a menu that focuses on North American Cuisine​ — think a sophisticated twist on traditional Canadian comfort foods. They always pride themselves on making all of the dishes in house from scratch, using the best local producers and farmers as much as possible. They believe that every person that joins the team and every guest that walks through the doors becomes part of their family as they grow and evolve. At Free House they strive to be much more than your average restaurant/bar, they aim to be a member of the community. They look forward to sharing their passion for fresh local food and great beer with you!","1153 Kensington Cres NW
Calgary, Alberta T2N 1X7
(403) 452-1339",info@freehouseyyc.com
"Friendibles Inc
","Friendibles is there to help you enjoy better edibles with high quality tools and clever recipes","Cannabis and edibles are legal now. Friendibles is here to legitimize healthier forms of consumption, de-stigmatize it, and help you have a great time every time you want a fun, casual way to relax. Friendibles promotes the mentality that edibles can be a casual experience and should always enhance the time you spend with your friends or family, no different than a glass of wine or a refreshing beer. Thinking about edibles should only bring up positive memories, the great taste of fresh-baked cookies, the jokes shared preparing an infused lunch or the feeling of catching up with your best friends. Our central pillar is precise THC dosing and portioning, to always get exactly what you want in your infused foods and treats. Everyone can be Goldilocks when you make use of tools and recipes from Friendibles. All of their products and online content are designed so that you never have to settle for a nibble of an edible that is too strong. A core component of their business is to provide you with accurate and honest information for your exploration of legal cannabis. Friendibles is ideal for people looking to try edibles but wants to keep a handle on their trip.Friendibles is driven by two native Calgarians, Ciprian and Evan. Ciprian is a geoscientist by training with 8 years of experience building computer simulations of the Earth and analyzing large data sets. Evan is an engineer with a Master's degree in materials science, researching and inventing advanced metals, ceramics and plastics for 8 years. They have joined forces to eliminate the stigma of edibles and the stereotype of cannabis users. No fear that they’re too intense and will ruin your day. No more bad stories, no more uncertainty and no second guesses.","
(403) 771-6501",holla@friendibles.ca
Fungi Akuafo,"Spawn producer striving to make mushroom growing more accessible. Fresh to order and offering a variety of workshops
","Fungi Akuafo was started by a pair of budding mycologists, Meghan and Tara, to help demystify mushrooms. They wanted to contribute to their local food system by making mushroom cultivation more accessible. Whether you’re a DIY grower or a small-scale farmer, Fungi Akuafo can help you grow mushrooms. They offer a range of indoor and outdoor mushroom spawn products and educational workshops. At Fungi Akuafo, they are interested in all things fungi. Fungi Akuafo is excited to collaborate with other local businesses and innovators to explore ways to integrate fungi into waste reduction, remediation, landscape design, sustainable products and more.","6170, Township Rd 314
Mountain View County, Alberta T0M 1X0
(403) 638-2007",info@fungiakuafo.com
Goldie Craft Chocolate,"Pleasure for the People! Micro-batch craft chocolate, made from ethically sourced cocoa beans.
","Goldie Craft Chocolate believes that as conscious consumers, we do not need to compromise our ethics, in order to experience the pleasure of good chocolate! What chocolate provides is truly unique - a memory, a moment of celebration, a comforting solace. However, underneath all of this deliciousness, lies a history of chocolate farming and manufacturing that is uncertain and unethical for the majority of the worlds five million cacao farmers. Goldie Craft Chocolate aims to make great chocolate, but to do so by putting the change they wish to see worldwide, into practice.

Ethical sourcing through transparent trading ensures that no human is enslaved to grow the cacao that Goldie Craft Chocolate sources, but it doesn't stop at farmer well-being. This cacao is grown with the preservation of local flavour in mind. Each origin Goldie Craft Chocolate sources is committed to growing chocolate with care, fermenting and drying it properly, which yields a high quality premium bean. Proper growing, fermenting and drying practices are the initial building blocks of a fine flavour chocolate, and each origin will taste uniquely different. Goldie Craft Chocolate currently sources from a family owned farm in the Costa Sur region of Guatemala called Monte Grande. They also use beans from the western part of Uganda, in a place called Semuliki Forest. These beans are farmed by over 1000 smallholder farmers in the region, who deliver their fresh cacao to the network weekly, and are paid in cash at the time of sale. This offers consistent cash flow to the farmers instead of a large payout once or twice a year (which is common practice of industrial cacao purchasers)

Once Goldie Craft Chocolate has the cacao in their hands, they get to work roasting, grinding and turning the beans into chocolate bars. Because they are a very small operation of just one person, the process of making chocolate is still on a micro-batch level. Many of the machines used in their processing have been hand made or re-purposed from other kitchen uses. They use organic ingredients as much as possible, and hope to be using more local ingredients in their inclusions soon. When all is said and done, they wrap each bar in a compostable cellulose wrapper and a Canadian post-consumer waste recycled paper envelope. It takes about a week to go from bean to bar, but it is a labour of love that produces excellent quality chocolate with simple ingredients that they know you will love!",,goldiechocolate@gmail.com
Good Trade Co.,A social-enterprise coffee company that works directly with farmers and students in Colombia,"Good Trade Co. provides delicious direct trade coffee to those who need an ethical pick-me-up. Good Trade Co. works directly with Colombian farmers and their communities to address and conquer barriers to knowledge and growth. Good Trade Co. delivers education programs on soft skills such as resiliency, empathy, and risk management in remote and vulnerable schools.

Good Trade Co. founders - Brandon Waardenburg, Guillermo Munoz & German Munoz-Celeita - have extensive experience working with marginalized populations in Calgary and Colombia with different Non-Profits. Good Trade Co. is now growing a sustainable business model that funds their education work.","1154 Kensington Crescent NW
Calgary, Alberta T2N 3P6
(587) 434-2597",hello@goodtrade.org
Grounded Tea,"Tea that is created to inspire a life well lived through purpose, connection, and consciousness.","Grounded Tea is owned by Angela Hayward and is truly a grassroots passion. After backpacking over 40 countries and having sipped the most amazing cups of tea all around the world, Angela knew her calling was to collide these two worlds. By importing fair trade tea (helps provide fair wages to give people a fighting chance against poverty) and then masterfully blending it right in the foothills of the Canadian Rockies.

There is a saying used at Grounded Tea quite often and included in as many places as possible “Drink Tea & Live Grounded”. That’s Grounded Tea’s motto, their philosophy and what they live by. Grounded Tea was started for one reason – to help people live better lives. Their goal is to create a community of people who feel a sense of connection to themselves, to each other and to this earth.

Grounded Tea cares about their environmental impact. Everything they source is carefully selected, from their rice paper packaging to their plant-based tea sachets.

Go check out Grounded Tea's #teasfortrees initiative, for each bag of tea sold, they plant one tree!",(403)874-1401,info@livegrounded.ca
Hermana Chocolate,"Hand-crafted, artisan chocolate confections made with premium chocolate.","Hermana Chocolate bonbons are literally edible art. They are made with premium chocolate and real ingredients without artificial flavours. Hermana tries their best to source ingredients locally when possible.

Hermana Chocolate believes locally owned small businesses bring character and identity to a city. Small business owners care about every details of their businesses and have a close connection with their customers. By collaborating with other local businesses, Hermana Chocolate wants to help build a strong community which eventually can result in a more successful and thriving city.

At Hermana Chocolate they try to use eco-friendly packaging and avoid any unnecessary material. This is not easy with chocolate packaging. Hermana Chocolate makes conscious decisions and keeps learning to come up with better solutions.",(403)919-4886,hello@hermanachocolate.ca
Hotel Arts,"Hotel Arts was formed July 2005, with the vision of creating Calgary’s first designer boutique-style hotel.","Hotel Arts values accountability, empowerment, care and fun. A locally owned and operated company, they are committed to the success of the city and supporting and promoting other locally owned and operated businesses. Hotel Arts is known for their two award winning restaurants; Yellow Door Bistro and Raw Bar, various meeting and event spaces as well as their carefully curated collection of Canadian art.

Hotel Arts supports the local community whenever it can and takes care of its employees, guests and contractors. Some of the ways it does this is through:

Installation of a Vivreu water system (still and sparkling water filtered and bottled in house) – both for the restaurants complimentary to the guests; company-wide composting and recycling systems; use of biodegradable to-go containers company-wide; sourcing local food producers whenever possible in both restaurant and banquet operations, and building lasting relationships with them. Hotel Arts eliminates paper usage where possible – for example, the wine lists in Yellow Door Bistro are on iPads.

Hotel Arts gives back to the local community by supporting arts, culture and culinary organizations, and fostering a relationship with SAIT Hospitality Program to recruit and hire the future of hospitality and culinary.

Hotel Arts also provides guests with complimentary use of bikes to explore the city or commute to a meeting, as well as encouraging staff to bike to work by providing bike storage. A Hotel Arts soccer team exists as a fun way to engage employees and give back to local charities.

More recently, the hotel introduced amenity dispensers offering Canadian made shampoo, conditioner, body lotion and body wash from Skoah, eliminating a substantial amount of waste from individual plastic bottles.","119 - 12th Avenue SW
Calgary, AB T2R 0G8
403-266-4611",
Intelligently Nourished,"Vegan & Gluten-free Cookies & Baking Kits
","Intelligently Nourished believes everyone should be able to indulge in sweet treats! They turn cookies and desserts into healthy delights! Intelligently Nourished begins with inspiring recipes and the highest quality organic ingredients that you just won’t find in store-bought cookies and desserts. All of their products are vegan & gluten-free, and suitable for a variety of food intolerances and dietary lifestyles. Their baking kits take the ‘ache’ out of baking! Each kit contains a recipe card, parchment paper and pre-measured, nutritious, plant-based ingredients. With the addition of a few staple pantry items, you’ll have everything you need to make fabulous cookies or cakes! No food waste. Kits are shelf-stable for at least 6 months.
",(403) 850-5895,info@intelligentlynourished.ca
Kaffeeklatsch,German: Kaffee (Coffee) Klatsch (Gossip/Noise),"A Kaffeeklatsch is a meeting between friends to exchange gossip over coffee. The term allegedly originated sometime around the 1900s, when German women would gather to drink coffee, eat cake, and chat. Taking inspiration from this remarkable word, Jessica McCarrel created her cafe, Kaffeeklatsch: a place where both the coffee and the conversation matter.","1205 1st Street SW
Calgary, Alberta T3B 4M2
(403) 919-4479",kaffee@kaffeeklatsch.ca
Lazy Bake,Lazy Bake makes baking easy! At-home baking kits that take all the guesswork out.,"Lazy Bake gets people moving in the kitchen, and makes baking easy. Their easy at-home baking kits help you create delicious homemade goodies. With no added preservatives, you can serve your family and friends with no worries (if the goodies make it that far!). Many of their kits being gluten free, but you wouldn't know it! Lazy Bake founder, Katie, started the company in 2020 with the goal of getting more people involved in the kitchen. She believes that gluten free baking can taste as good as regular baking, and has created these kits to reflect that. Katie hopes you have fun and enjoy the delicious outcome of her baking kits!",(403) 990-4084,lazybake@outlook.com
Mesmerize Spices,chef-curated spices and seasonings company.,"Food supply chains are increasingly scrutinized. Everyone should be aware of where our food comes from, who produces it and what’s in it.

Chef Christopher, Ken, Mitch and Jon who form the Mesmerize Spices team, believe they can create tasty unique, fresh and local flavours to the Calgary area.

Mesmerize Spices can elevate everyone’s home culinary experience using delicious and easy to use seasonings. Knowing that the spice blends were locally made, supporting local suppliers and families is an added bonus!",(825) 994-3587,hello@mesmerizespices.com
Mountain Rhino,"Mountain Rhino Gluten Free, Peanut/Tree Nut Free with Vegan Options too
","Welcome to Mountain Rhino, your number one place for all things Gluten Free, Peanut/Tree Nut Free & Vegan Gluten Free. Mountain Rhino is dedicated to giving you the best clean cheats with a focus on taste, quality and texture. Founded in 2016 by Steve Fletcher-Beck, Mountain Rhino has come a long way from its humble beginnings as a tent stall at a Saturday farmer’s market. When Steve first started out, his passion for creating innovative donuts using locally sourced ingredients drove him to take a leap of faith. He started selling at more farmer’s markets, which later gave him the impetus to leave the corporate world behind. He focused his talents and inspiration on a thriving bakery. Mountain Rhino serves customers all over Alberta and now Canada. They are honoured and thrilled to be a part of the gluten free community.","Bay 1R 7635 44 St. SE
Calgary, Alberta T2C 2K6
(403) 605-6174",info@mountainrhino.ca
Nature's CoCo cups,"Dairy free Hot CoCo filled with vitamins and healthy superfoods, packed in a backyard compostable cup great for nature","Nature's CoCo cups goal is to provide natural great products and experiences for you and nature to enjoy. All of their CoCo cups are dairy-free, vegan, plant-based and packed with superfoods. They utilize only local / Calgary / Canadian ingredients. As a company, they are very proud to be eco-conscious and zero waste.

By taking the simple steps of providing all of their products in backyard compostable packing, with a seed starter kit of sunflowers. They offer knowledge in helping pollinators and as the flowers are edible and add a bit of adventure to the dinner plate. With the goal always in mind to do everything they can, every 10 cups purchased a tree is planted in Canada.

They are a young growing blended family. Together they have spent years travelling and want to share their passion for people and places. As a family, they want to unite as many people to assist in the protection of our Nature. Alongside Nature's CoCo cups you can continue to learn how to live with nature as nature intended.","433 queenston Heights SE (only for curside Pick up residential)
Calgary, Alberta T2J 6E9
(587) 434-1981",naturescococups@gmail.com
Nature's Wrap,"Nature's Wrap provides an Eco friendly food storage solution-antibacterial, compostable and plastic- free!
","Nature's Wrap, is a handmade business creating solutions for keeping your foods fresher, crisper, longer. With a background in product design and marketing, the founder began with her love of pottery selling at craft markets and aligning with others to have their businesses recognized as ""a real business"". Fast forward to today, the "" crafters"", now ""makers"" are connecting with consumers in person and online as the move to handmade quality is revered by consumers. Nature's Wrap line of products are crafted with heart and intention. You can order through their website and choose to have items shipped or arrange local pickup.",(403) 612-2818,"hello@natureswrap.ca"
Orgali Foods,"Delicious and nutrient-rich foods free of gluten, dairy, eggs and processed sugar delivered to customers’ doorsteps.","Orgali Foods is a local business that offers great customer experience and fast delivery of healthy and tasty foods straight to their customers' doorsteps. Orgali Food’s customers are people who are short on time, care about what they eat and will not skimp on taste.

Alina Muresan is the founder and owner of Orgali Foods. She was born and raised in Romania. After graduating from medical school, she moved to Canada where she received a MSc. in biochemistry from the University of Saskatchewan and a Nutrition Diploma from the Canadian School of Natural Nutrition. After her husband was diagnosed with cancer and her son was diagnosed with gluten and dairy sensitivity, Alina and her family decided to make dietary and lifestyle changes to lead happy and healthy lives.

Through Orgali Foods, Alina's mission is to help busy people who struggle with food allergies and sensitivities spend less time in the kitchen and more time building memories with their loved ones around the kitchen table.",(403)437-4393,alina@orgali.ca
Raw Eatery & Market,Raw Eatery & Market is a female operated plant-based cafe that utilizes local ingredients to make nutritious meals and treats.,"Raw Eatery & Market is a female operated plant-based cafe on Kensington Road. They believe in the power of community and collaboration, and choose to utilize local ingredients in all of their dishes. Nutrition is at the forefront of everything they create. They believe that plants are medicine and fuel, and love to go straight to the source when it comes to nutrition.

Megan and Ali are the faces behind the Raw. They are both board members of VegFest Calgary and each bring passion and energy to progress the plant-based movement in Calgary. Megan is a graduate of both U of A's Nutrition and Food Science as well as the Canadian School of Natural Nutrition. She uses her knowledge of nutrition for the base of every menu item, and offers nutrition counselling services. Raw's food is unique in the way that it is satiating and flavourful while also bursting with nutrition. The prices are affordable making plant-based meals as accessible as possible.","1145 Kensington Crescent NW
Calgary, Alberta T2N 1X7
(780) 222-7519",hello@raweateryandmarket.com
Red Fox Fungi,Craft mushrooms and seasoning blends farmed and crafted ethically and sustainably,"Red Fox Fungi is a small craft mushroom farm dedicated to sustainable, chemical-free and responsible farming practices. They are proudly family operated and committed to hiring local youth, paying fair wages, as well as giving back to the community. Red Fox Fungi is dedicated to growing the highest quality local gourmet mushrooms and crafting delicious msg-free and preservative-free seasoning blends. They are committed to maintaining a focus on their footprint as a company to ensure as they grow they continue to put sustainability ahead of profit margins. They believe in safe food.

Owners Janine and Brad both enjoy local collaborations, opportunities for education, supporting other local farms, and fundraising for their charity of choice, Kids Cancer Care. They look forward to many more years serving the Calgary area.",(587) 436-7145,info@redfoxfungi.ca
Righteous Gelato,Enriching people’s lives one tiny spoonful at a time.,"Righteous Gelato is the maker of Canada’s No. 1 selling Gelato & Sorbetto and the very 1st Gelato company to become B Corp certified (Best for the World). Its Righteous mission is simple; to enrich people’s lives, one tiny spoonful at a time. With a commitment to changing the way business is done, they put people and purpose above all else and are part of the fabric of the communities they serve through their impact.

They just happen to do it by making Gelato.","#110 - 221 19th Street SE
Calgary, AB T2E 7M2
403-452-3150",hello@righteousgelato.com
